,MILAN,DnD,NetDissect
tench,0.013430396,-0.1013649,0.07820666
English springer spaniel,0.042879514,-0.008707209,-0.018010907
cassette player,0.14562456,0.24879766,0.14542292
church,0.092230015,0.6346144,0.38199553
garbage truck,0.32625067,0.3082959,0.20391254
golf ball,0.12704754,0.6779756,-0.051150918
