class,bertscore_f1
American egret,-0.1918457
ringlet,-0.191103
microphone,-0.11271729
padlock,-0.20220606
basketball,-0.15951231
unicycle,-0.09475865
flagpole,-0.21695799
shopping cart,-0.088258356
speedboat,-0.109934375
Arabian camel,0.0003556341
beer glass,-0.15127234
Labrador retriever,-0.113528155
shopping basket,-0.020083968
suit,-0.30789614
