mode,trial,n_ablated,clean_acc,adv_acc
sort-all,1,32,0.6969376979936642,0.14980891719745223
sort-all,1,34,0.6789862724392819,0.20636942675159237
sort-all,1,36,0.6135163674762407,0.2749044585987261
sort-all,1,38,0.6082365364308342,0.28076433121019106
sort-all,1,40,0.6019007391763463,0.28229299363057325
sort-all,1,42,0.5997888067581837,0.2843312101910828
sort-all,1,44,0.5818373812038015,0.29656050955414015
sort-all,1,46,0.5659978880675819,0.3014012738853503
sort-all,1,48,0.5617740232312566,0.2749044585987261
sort-all,1,50,0.5586061246040127,0.2654777070063694
sort-all,1,52,0.5501583949313622,0.270828025477707
sort-all,1,54,0.5364308342133052,0.2713375796178344
sort-all,1,56,0.53220696937698,0.27337579617834395
sort-all,1,58,0.5575501583949314,0.24636942675159235
sort-all,1,60,0.5110876451953538,0.2749044585987261
sort-all,1,62,0.4804646251319958,0.29554140127388534
sort-all,1,64,0.4677930306230201,0.2728662420382166
sort-all,1,66,0.4635691657866948,0.27337579617834395
sort-all,1,68,0.4604012671594509,0.27414012738853505
sort-all,1,70,0.457233368532207,0.27414012738853505
sort-all,1,72,0.4551214361140444,0.2743949044585987
sort-all,1,74,0.4593453009503696,0.2749044585987261
sort-all,1,76,0.4582893347412883,0.27337579617834395
sort-all,1,78,0.4582893347412883,0.27312101910828024
sort-all,1,80,0.44350580781414994,0.276687898089172
random,1,0,0.778247096092925,0.09477707006369426
random,1,2,0.778247096092925,0.09477707006369426
random,1,4,0.778247096092925,0.09477707006369426
random,1,6,0.7793030623020063,0.09477707006369426
random,1,8,0.778247096092925,0.09477707006369426
random,1,10,0.7793030623020063,0.09477707006369426
random,1,12,0.7803590285110876,0.09477707006369426
random,1,14,0.781414994720169,0.09477707006369426
random,1,16,0.7824709609292503,0.09477707006369426
random,1,18,0.7845828933474129,0.09477707006369426
random,1,20,0.7845828933474129,0.09477707006369426
random,1,22,0.7856388595564942,0.09477707006369426
random,1,24,0.7835269271383316,0.09477707006369426
random,1,26,0.7803590285110876,0.09477707006369426
random,1,28,0.7824709609292503,0.09477707006369426
random,1,30,0.7824709609292503,0.09477707006369426
random,1,32,0.781414994720169,0.09477707006369426
random,1,34,0.7835269271383316,0.09477707006369426
random,1,36,0.7835269271383316,0.09477707006369426
random,1,38,0.7835269271383316,0.09477707006369426
random,1,40,0.7824709609292503,0.09477707006369426
random,1,42,0.781414994720169,0.09477707006369426
random,1,44,0.7824709609292503,0.09477707006369426
random,1,46,0.7824709609292503,0.09477707006369426
random,1,48,0.7856388595564942,0.09477707006369426
random,1,50,0.7866948257655755,0.09503184713375797
random,1,52,0.7866948257655755,0.09503184713375797
random,1,54,0.7866948257655755,0.09503184713375797
random,1,56,0.7856388595564942,0.09503184713375797
random,1,58,0.7888067581837381,0.09477707006369426
random,1,60,0.7877507919746568,0.09477707006369426
random,1,62,0.781414994720169,0.09503184713375797
random,1,64,0.781414994720169,0.09554140127388536
random,1,66,0.7803590285110876,0.09528662420382165
random,1,68,0.7824709609292503,0.09528662420382165
random,1,70,0.7824709609292503,0.09528662420382165
random,1,72,0.7824709609292503,0.09528662420382165
random,1,74,0.7835269271383316,0.09528662420382165
random,1,76,0.7835269271383316,0.09528662420382165
random,1,78,0.7824709609292503,0.09528662420382165
random,1,80,0.7824709609292503,0.09528662420382165
random,2,0,0.778247096092925,0.09477707006369426
random,2,2,0.7793030623020063,0.09477707006369426
random,2,4,0.778247096092925,0.09477707006369426
random,2,6,0.7793030623020063,0.09477707006369426
random,2,8,0.7793030623020063,0.09477707006369426
random,2,10,0.7793030623020063,0.09477707006369426
random,2,12,0.778247096092925,0.09477707006369426
random,2,14,0.778247096092925,0.09477707006369426
random,2,16,0.7771911298838438,0.09477707006369426
random,2,18,0.778247096092925,0.09477707006369426
random,2,20,0.778247096092925,0.09477707006369426
random,2,22,0.778247096092925,0.09477707006369426
random,2,24,0.781414994720169,0.09477707006369426
random,2,26,0.7793030623020063,0.09477707006369426
random,2,28,0.7771911298838438,0.09477707006369426
random,2,30,0.7771911298838438,0.09477707006369426
random,2,32,0.7771911298838438,0.09477707006369426
random,2,34,0.7771911298838438,0.09477707006369426
