layer,n_total,n_text,frac_text,diversity,top5
conv1,64,9,0.140625,0.1978021978021978,"white, objects, lines, spots, edges"
layer1,64,27,0.421875,0.21341463414634146,"words, white, objects, lines, letters"
layer2,128,37,0.2890625,0.13119533527696792,"lines, words, white, horizontal, letters"
layer3,256,77,0.30078125,0.06342182890855458,"lines, words, horizontal, white, objects"
layer4,512,66,0.12890625,0.08580593424218123,"objects, white, colored, dog, red"
